p20,variable,type,value,filename,iso3,survey_year
TRUE,registration,numerator,48.568534,bfhr62dt,BFA,2011
TRUE,registration,denominator,106.023631,bfhr62dt,BFA,2011
FALSE,registration,statistic,0.770436318410106,bfhr62dt,BFA,2011
FALSE,registration,numerator,11343.683207,bfhr62dt,BFA,2011
FALSE,registration,denominator,14723.712961,bfhr62dt,BFA,2011
TRUE,mortality,statistic,0.0802651253187323,bjhr31dt,BEN,1996
TRUE,mortality,numerator,3.825208,bjhr31dt,BEN,1996
TRUE,mortality,denominator,47.657161,bjhr31dt,BEN,1996
FALSE,mortality,statistic,0.163975366453662,bjhr31dt,BEN,1996
FALSE,mortality,numerator,1910.520353,bjhr31dt,BEN,1996
FALSE,mortality,denominator,11651.2644205,bjhr31dt,BEN,1996
TRUE,stunting,statistic,,bjhr31dt,BEN,1996
TRUE,stunting,numerator,,bjhr31dt,BEN,1996
TRUE,stunting,denominator,,bjhr31dt,BEN,1996
FALSE,stunting,statistic,,bjhr31dt,BEN,1996
FALSE,stunting,numerator,,bjhr31dt,BEN,1996
FALSE,stunting,denominator,,bjhr31dt,BEN,1996
TRUE,registration,statistic,,bjhr31dt,BEN,1996
TRUE,registration,numerator,,bjhr31dt,BEN,1996
TRUE,registration,denominator,,bjhr31dt,BEN,1996
FALSE,registration,statistic,,bjhr31dt,BEN,1996
FALSE,registration,numerator,,bjhr31dt,BEN,1996
FALSE,registration,denominator,,bjhr31dt,BEN,1996
TRUE,mortality,statistic,,bjhr41dt,BEN,1999
TRUE,mortality,numerator,,bjhr41dt,BEN,1999
TRUE,mortality,denominator,,bjhr41dt,BEN,1999
FALSE,mortality,statistic,0.149814205996878,bjhr41dt,BEN,1999
FALSE,mortality,numerator,1837.458921,bjhr41dt,BEN,1999
FALSE,mortality,denominator,12264.9177945,bjhr41dt,BEN,1999
TRUE,stunting,statistic,,bjhr41dt,BEN,1999
TRUE,stunting,numerator,,bjhr41dt,BEN,1999
TRUE,stunting,denominator,,bjhr41dt,BEN,1999
FALSE,stunting,statistic,,bjhr41dt,BEN,1999
FALSE,stunting,numerator,,bjhr41dt,BEN,1999
FALSE,stunting,denominator,,bjhr41dt,BEN,1999
TRUE,registration,statistic,,bjhr41dt,BEN,1999
TRUE,registration,numerator,,bjhr41dt,BEN,1999
TRUE,registration,denominator,,bjhr41dt,BEN,1999
FALSE,registration,statistic,,bjhr41dt,BEN,1999
FALSE,registration,numerator,,bjhr41dt,BEN,1999
FALSE,registration,denominator,,bjhr41dt,BEN,1999
TRUE,mortality,statistic,0.178766828711105,bjhr51dt,BEN,2005
TRUE,mortality,numerator,41.723933,bjhr51dt,BEN,2005
TRUE,mortality,denominator,233.3986305,bjhr51dt,BEN,2005
FALSE,mortality,statistic,0.122156369540804,bjhr51dt,BEN,2005
FALSE,mortality,numerator,4382.713667,bjhr51dt,BEN,2005
FALSE,mortality,denominator,35877.897186,bjhr51dt,BEN,2005
TRUE,stunting,statistic,0.552769836401042,bjhr51dt,BEN,2005
TRUE,stunting,numerator,42.450561,bjhr51dt,BEN,2005
TRUE,stunting,denominator,76.796088,bjhr51dt,BEN,2005
FALSE,stunting,statistic,0.431361469311737,bjhr51dt,BEN,2005
FALSE,stunting,numerator,5673.832312,bjhr51dt,BEN,2005
FALSE,stunting,denominator,13153.312745,bjhr51dt,BEN,2005
TRUE,registration,statistic,0.339831334414111,bjhr51dt,BEN,2005
TRUE,registration,numerator,29.336954,bjhr51dt,BEN,2005
TRUE,registration,denominator,86.327984,bjhr51dt,BEN,2005
FALSE,registration,statistic,0.53142256992447,bjhr51dt,BEN,2005
FALSE,registration,numerator,8615.235848,bjhr51dt,BEN,2005
FALSE,registration,denominator,16211.648386,bjhr51dt,BEN,2005
TRUE,mortality,statistic,0.0572223690451712,bjhr61dt,BEN,2012
TRUE,mortality,numerator,14.6436185,bjhr61dt,BEN,2012
TRUE,mortality,denominator,255.9072395,bjhr61dt,BEN,2012
FALSE,mortality,statistic,0.0690303429501458,bjhr61dt,BEN,2012
FALSE,mortality,numerator,2079.700653,bjhr61dt,BEN,2012
FALSE,mortality,denominator,30127.3405885,bjhr61dt,BEN,2012
TRUE,stunting,statistic,0.584874974479311,bjhr61dt,BEN,2012
TRUE,stunting,numerator,30.537808,bjhr61dt,BEN,2012
TRUE,stunting,denominator,52.21254,bjhr61dt,BEN,2012
FALSE,stunting,statistic,0.445357836913818,bjhr61dt,BEN,2012
FALSE,stunting,numerator,3602.442378,bjhr61dt,BEN,2012
FALSE,stunting,denominator,8088.871643,bjhr61dt,BEN,2012
TRUE,registration,statistic,0.467203374637408,bjhr61dt,BEN,2012
TRUE,registration,numerator,52.638974,bjhr61dt,BEN,2012
TRUE,registration,denominator,112.668223,bjhr61dt,BEN,2012
FALSE,registration,statistic,0.804137810297698,bjhr61dt,BEN,2012
FALSE,registration,numerator,11348.000218,bjhr61dt,BEN,2012
FALSE,registration,denominator,14112.009251,bjhr61dt,BEN,2012
TRUE,mortality,statistic,0.0510147129176203,bjhr71dt,BEN,2015
TRUE,mortality,numerator,11.8637385,bjhr71dt,BEN,2015
TRUE,mortality,denominator,232.555234,bjhr71dt,BEN,2015
FALSE,mortality,statistic,0.0926170694682281,bjhr71dt,BEN,2015
FALSE,mortality,numerator,2731.21131,bjhr71dt,BEN,2015
FALSE,mortality,denominator,29489.2866475,bjhr71dt,BEN,2015
TRUE,stunting,statistic,0.440682884766118,bjhr71dt,BEN,2015
TRUE,stunting,numerator,47.308676,bjhr71dt,BEN,2015
TRUE,stunting,denominator,107.353105,bjhr71dt,BEN,2015
FALSE,stunting,statistic,0.324170338155569,bjhr71dt,BEN,2015
FALSE,stunting,numerator,4146.06485,bjhr71dt,BEN,2015
FALSE,stunting,denominator,12789.772419,bjhr71dt,BEN,2015
TRUE,registration,statistic,0.681822621070274,bjhr71dt,BEN,2015
